""	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Probes"	"Symbol"	"Ensembl_id"	"Biotype1"	"Biotype2"	"Synonyms"	"Platform"
"225629_s_at"	5.22e-09	5.74e-12	-8.45823366	17.0051148	-0.55	"225629_s_at"	"ZBTB4"	"ENSG00000174282"	"gene"	"protein_coding"	"ZBTB4"	"GPL570"
"208872_s_at"	5.23e-09	5.91e-12	8.45079771	16.9764193	0.468	"208872_s_at"	"REEP5"	"ENSG00000129625|ENST00000497856"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"REEP5|REEP5-204"	"GPL570"
"219607_s_at"	5.23e-09	5.94e-12	8.44978747	16.9725205	1.64	"219607_s_at"	"MS4A4A"	"ENSG00000110079|ENST00000529991"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"MS4A4A|MS4A4A-205"	"GPL570"
"213911_s_at"	5.38e-09	6.48e-12	8.42772335	16.8873579	0.364	"213911_s_at"	"H2AZ1"	"ENSG00000164032|ENST00000511348|ENST00000511203|ENST00000511319"	"gene|lnc_RNA|lnc_RNA|lnc_RNA"	"protein_coding|retained_intron|retained_intron|retained_intron"	"H2AZ1|H2AZ1-204|H2AZ1-202|H2AZ1-203"	"GPL570"
"218183_at"	5.38e-09	6.5e-12	-8.42704503	16.8847394	-0.36	"218183_at"	"CDIP1"	"ENSG00000089486"	"gene"	"protein_coding"	"CDIP1"	"GPL570"
"212098_at"	5.82e-09	7.14e-12	-8.40376385	16.7948535	-0.442	"212098_at"	"MGAT5"	"ENSG00000152127"	"gene"	"protein_coding"	"MGAT5"	"GPL570"
"222408_s_at"	6.96e-09	8.89e-12	8.34898979	16.5832803	0.602	"222408_s_at"	"YPEL5"	"ENSG00000119801"	"gene"	"protein_coding"	"YPEL5"	"GPL570"
"212288_at"	7.16e-09	9.31e-12	-8.33744967	16.5386881	-0.347	"212288_at"	"FNBP1"	"ENSG00000187239"	"gene"	"protein_coding"	"FNBP1"	"GPL570"
"209882_at"	7.28e-09	9.63e-12	8.3290941	16.5063978	0.677	"209882_at"	"RIT1"	"ENSG00000143622"	"gene"	"protein_coding"	"RIT1"	"GPL570"
"225195_at"	8.68e-09	1.2e-11	8.27442831	16.2950695	0.966	"225195_at"	"DPH3"	"ENSG00000154813|ENST00000285082|ENST00000462982"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|processed_transcript|processed_transcript"	"DPH3|DPH3-201|DPH3-203"	"GPL570"
"217388_s_at"	9e-09	1.27e-11	8.25937878	16.2368699	0.989	"217388_s_at"	"KYNU"	"ENSG00000115919"	"gene"	"protein_coding"	"KYNU"	"GPL570"
"224373_s_at"	9e-09	1.29e-11	-8.25725049	16.2286387	-0.411	"224373_s_at"	"MT"	"ENSG00000198886"	"gene"	"protein_coding"	"MT-ND4"	"GPL570"
"209014_at"	9.01e-09	1.3e-11	-8.25376002	16.2151388	-0.448	"209014_at"	"MAGED1"	"ENST00000494718|ENST00000485420|ENST00000473931|ENSG00000179222"	"lnc_RNA|lnc_RNA|lnc_RNA|gene"	"processed_transcript|processed_transcript|processed_transcript|protein_coding"	"MAGED1-210|MAGED1-209|MAGED1-206|MAGED1"	"GPL570"
"205214_at"	9.08e-09	1.35e-11	8.2446502	16.1799031	0.839	"205214_at"	"STK17B"	"ENSG00000081320"	"gene"	"protein_coding"	"STK17B"	"GPL570"
"229174_at"	9.08e-09	1.35e-11	8.24563444	16.1837102	0.714	"229174_at"	"C3orf38"	"ENSG00000179021|ENST00000485219"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"C3orf38|C3orf38-203"	"GPL570"
"201858_s_at"	9.08e-09	1.36e-11	8.24261271	16.172022	0.561	"201858_s_at"	"SRGN"	"ENSG00000122862|ENST00000462445"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"SRGN|SRGN-202"	"GPL570"
"212620_at"	9.39e-09	1.43e-11	-8.23127804	16.1281757	-0.415	"212620_at"	"ZNF609"	"ENSG00000180357"	"gene"	"protein_coding"	"ZNF609"	"GPL570"
"212507_at"	9.79e-09	1.53e-11	-8.21423475	16.0622378	-0.397	"212507_at"	"TMEM131"	"ENST00000485245|ENSG00000075568"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"TMEM131-208|TMEM131"	"GPL570"
"1552773_at"	9.79e-09	1.54e-11	8.21192147	16.0532872	1.5	"1552773_at"	"CLEC4D"	"ENSG00000166527"	"gene"	"protein_coding"	"CLEC4D"	"GPL570"
"230631_s_at"	9.97e-09	1.59e-11	8.20460503	16.0249772	0.755	"230631_s_at"	"IL10RB"	"ENSG00000223799|ENST00000411998"	"ncRNA_gene|lnc_RNA"	"lncRNA|lncRNA"	"IL10RB-DT|IL10RB-DT-201"	"GPL570"
"219104_at"	1.04e-08	1.68e-11	8.19130618	15.9735143	0.616	"219104_at"	"RNF141"	"ENST00000534281|ENSG00000110315"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"RNF141-205|RNF141"	"GPL570"
"225469_at"	1.08e-08	1.8e-11	8.17326768	15.9037006	0.577	"225469_at"	"ETFRF1"	"ENSG00000205707"	"gene"	"protein_coding"	"ETFRF1"	"GPL570"
"221839_s_at"	1.08e-08	1.84e-11	-8.16811268	15.8837475	-0.427	"221839_s_at"	"UBAP2"	"ENST00000379235|ENSG00000137073"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"UBAP2-203|UBAP2"	"GPL570"
"201591_s_at"	1.08e-08	1.87e-11	-8.16328173	15.8650478	-0.339	"201591_s_at"	"NISCH"	"ENSG00000010322|ENST00000489895"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"NISCH|NISCH-213"	"GPL570"
"233268_s_at"	1.13e-08	1.98e-11	8.14981494	15.8129163	0.83	"233268_s_at"	"CHURC1"	"ENSG00000258289|ENSG00000125954"	"gene|gene"	"protein_coding|protein_coding"	"CHURC1|CHURC1-FNTB"	"GPL570"
"228437_at"	1.13e-08	2e-11	8.14690384	15.8016464	0.65	"228437_at"	"CNIH4"	"ENSG00000143771|ENST00000468318"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"CNIH4|CNIH4-206"	"GPL570"
"212631_at"	1.18e-08	2.11e-11	8.1336765	15.7504351	0.725	"212631_at"	"STX7"	"ENSG00000079950"	"gene"	"protein_coding"	"STX7"	"GPL570"
"217884_at"	1.19e-08	2.16e-11	-8.12763903	15.7270585	-0.418	"217884_at"	"NAT10"	"ENST00000534509|ENSG00000135372"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"NAT10-209|NAT10"	"GPL570"
"207435_s_at"	1.22e-08	2.23e-11	-8.12017767	15.6981672	-0.513	"207435_s_at"	"SRRM2"	"ENST00000574331|ENST00000573583|ENSG00000167978"	"lnc_RNA|lnc_RNA|gene"	"retained_intron|processed_transcript|protein_coding"	"SRRM2-218|SRRM2-216|SRRM2"	"GPL570"
"224784_at"	1.25e-08	2.33e-11	-8.10868171	15.65365	-0.484	"224784_at"	"MLLT6"	"ENSG00000275023"	"gene"	"protein_coding"	"MLLT6"	"GPL570"
"225593_at"	1.29e-08	2.43e-11	8.09859903	15.6146026	0.334	"225593_at"	"LSM10"	"ENSG00000181817|ENST00000476041"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"LSM10|LSM10-202"	"GPL570"
"208864_s_at"	1.3e-08	2.49e-11	8.09251583	15.5910426	0.923	"208864_s_at"	"TXN"	"ENST00000487892|ENSG00000136810"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"TXN-203|TXN"	"GPL570"
"226744_at"	1.3e-08	2.5e-11	-8.09189659	15.5886442	-0.387	"226744_at"	"METTL16"	"ENST00000574623|ENSG00000127804|ENST00000571669"	"lnc_RNA|gene|lnc_RNA"	"processed_transcript|protein_coding|processed_transcript"	"METTL16-206|METTL16|METTL16-205"	"GPL570"
"225844_at"	1.3e-08	2.52e-11	8.08986843	15.580789	0.658	"225844_at"	"POLE4"	"ENSG00000115350|ENST00000233699|ENST00000465242"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|processed_transcript|processed_transcript"	"POLE4|POLE4-201|POLE4-203"	"GPL570"
"222436_s_at"	1.35e-08	2.66e-11	8.07605572	15.527288	0.403	"222436_s_at"	"CHMP3"	"ENSG00000115561"	"gene"	"protein_coding"	"CHMP3"	"GPL570"
"64418_at"	1.36e-08	2.72e-11	-8.0708295	15.5070438	-0.354	"64418_at"	"SYNRG"	"ENSG00000275066"	"gene"	"protein_coding"	"SYNRG"	"GPL570"
"213390_at"	1.36e-08	2.75e-11	-8.06755758	15.4943693	-0.367	"213390_at"	"ZC3H4"	"ENSG00000130749"	"gene"	"protein_coding"	"ZC3H4"	"GPL570"
"200058_s_at"	1.36e-08	2.75e-11	-8.06803508	15.496219	-0.387	"200058_s_at"	"SNRNP200"	"ENST00000497539|ENSG00000144028"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"SNRNP200-208|SNRNP200"	"GPL570"
"222637_at"	1.37e-08	2.81e-11	8.06286104	15.4761759	0.836	"222637_at"	"COMMD10"	"ENST00000508250|ENSG00000145781|ENST00000503424"	"lnc_RNA|gene|lnc_RNA"	"processed_transcript|protein_coding|processed_transcript"	"COMMD10-205|COMMD10|COMMD10-202"	"GPL570"
"224604_at"	1.37e-08	2.83e-11	8.06099278	15.4689385	0.5	"224604_at"	"C4orf3"	"ENSG00000164096"	"gene"	"protein_coding"	"C4orf3"	"GPL570"
"223065_s_at"	1.37e-08	2.87e-11	8.0573941	15.4549973	0.669	"223065_s_at"	"STARD3NL"	"ENSG00000010270|ENST00000471550"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"STARD3NL|STARD3NL-207"	"GPL570"
"221734_at"	1.41e-08	2.99e-11	-8.04689728	15.4143311	-0.369	"221734_at"	"PRRC1"	"ENST00000513427|ENSG00000164244"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"PRRC1-206|PRRC1"	"GPL570"
"202725_at"	1.44e-08	3.08e-11	-8.03987692	15.3871316	-0.535	"202725_at"	"POLR2A"	"ENSG00000181222|ENST00000617998"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"POLR2A|POLR2A-209"	"GPL570"
"208723_at"	1.53e-08	3.31e-11	-8.02188428	15.3174158	-0.48	"208723_at"	"USP11"	"ENST00000467378|ENSG00000102226|ENST00000469080"	"lnc_RNA|gene|lnc_RNA"	"retained_intron|protein_coding|retained_intron"	"USP11-205|USP11|USP11-206"	"GPL570"
"213379_at"	1.65e-08	3.63e-11	7.99862757	15.2272919	0.797	"213379_at"	"COQ2"	"ENSG00000173085"	"gene"	"protein_coding"	"COQ2"	"GPL570"
"218163_at"	1.68e-08	3.75e-11	7.99110917	15.1981541	0.68	"218163_at"	"MCTS1"	"ENST00000487133|ENST00000484481|ENSG00000232119"	"lnc_RNA|lnc_RNA|gene"	"processed_transcript|processed_transcript|protein_coding"	"MCTS1-204|MCTS1-203|MCTS1"	"GPL570"
"203371_s_at"	1.72e-08	3.92e-11	7.98015275	15.1556898	1.08	"203371_s_at"	"NDUFB3"	"ENSG00000119013"	"gene"	"protein_coding"	"NDUFB3"	"GPL570"
"202155_s_at"	1.73e-08	3.97e-11	7.97695478	15.1432948	0.562	"202155_s_at"	"NUP214"	"ENSG00000126883"	"gene"	"protein_coding"	"NUP214"	"GPL570"
"208842_s_at"	1.73e-08	3.99e-11	-7.97572345	15.1385223	-0.287	"208842_s_at"	"GORASP2"	"ENST00000486498|ENSG00000115806"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"GORASP2-207|GORASP2"	"GPL570"
"225852_at"	1.73e-08	4.03e-11	-7.97320109	15.1287457	-0.473	"225852_at"	"ANKRD17"	"ENSG00000132466|ENST00000514252"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"ANKRD17|ANKRD17-206"	"GPL570"
"209782_s_at"	1.84e-08	4.3e-11	-7.95662275	15.0644851	-0.412	"209782_s_at"	"DBP"	"ENSG00000105516|ENST00000594723"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"DBP|DBP-203"	"GPL570"
"226521_s_at"	1.87e-08	4.41e-11	7.95032833	15.0400853	0.786	"226521_s_at"	"ABRAXAS1"	"ENSG00000163322"	"gene"	"protein_coding"	"ABRAXAS1"	"GPL570"
"221501_x_at"	1.92e-08	4.57e-11	-7.94147479	15.0057641	-0.502	"221501_x_at"	"NPIPA7"	"ENSG00000214967"	"gene"	"protein_coding"	"NPIPA7"	"GPL570"
"226896_at"	2.09e-08	5.05e-11	7.91689256	14.9104619	0.541	"226896_at"	"CHCHD1"	"ENSG00000172586"	"gene"	"protein_coding"	"CHCHD1"	"GPL570"
"223174_at"	2.09e-08	5.09e-11	7.91493943	14.9028894	0.604	"223174_at"	"BTBD10"	"ENSG00000148925"	"gene"	"protein_coding"	"BTBD10"	"GPL570"
"221482_s_at"	2.23e-08	5.52e-11	7.89472232	14.8245017	0.703	"221482_s_at"	"ARPP19"	"ENSG00000128989"	"gene"	"protein_coding"	"ARPP19"	"GPL570"
"200045_at"	2.24e-08	5.63e-11	-7.8900438	14.8063607	-0.348	"200045_at"	"ABCF1"	"ENSG00000204574"	"gene"	"protein_coding"	"ABCF1"	"GPL570"
"227346_at"	2.24e-08	5.63e-11	-7.88998602	14.8061367	-0.289	"227346_at"	"IKZF1"	"ENSG00000185811"	"gene"	"protein_coding"	"IKZF1"	"GPL570"
"203351_s_at"	2.25e-08	5.69e-11	7.88745305	14.7963149	0.632	"203351_s_at"	"ORC4"	"ENSG00000115947"	"gene"	"protein_coding"	"ORC4"	"GPL570"
"210092_at"	2.37e-08	6.15e-11	7.86793734	14.7206383	0.673	"210092_at"	"MAGOH"	"ENST00000462941|ENSG00000162385"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"MAGOH-203|MAGOH"	"GPL570"
"222047_s_at"	2.37e-08	6.16e-11	-7.86738684	14.7185035	-0.421	"222047_s_at"	"SRRT"	"ENST00000477529|ENSG00000087087"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"SRRT-210|SRRT"	"GPL570"
"224587_at"	2.41e-08	6.36e-11	7.85961932	14.6883816	1.31	"224587_at"	"SUB1"	"ENSG00000113387"	"gene"	"protein_coding"	"SUB1"	"GPL570"
"206584_at"	2.41e-08	6.42e-11	7.85717141	14.6788886	1.38	"206584_at"	"LY96"	"ENSG00000154589"	"gene"	"protein_coding"	"LY96"	"GPL570"
"229967_at"	2.41e-08	6.45e-11	7.85602997	14.674462	0.755	"229967_at"	"CMTM2"	"ENST00000532362|ENSG00000140932"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"CMTM2-203|CMTM2"	"GPL570"
"222495_at"	2.41e-08	6.48e-11	7.85480278	14.6697029	0.442	"222495_at"	"TMEM167B"	"ENSG00000215717"	"gene"	"protein_coding"	"TMEM167B"	"GPL570"
"224972_at"	2.49e-08	6.85e-11	7.8411704	14.6168346	0.499	"224972_at"	"ROMO1"	"ENSG00000125995"	"gene"	"protein_coding"	"ROMO1"	"GPL570"
"205173_x_at"	2.65e-08	7.33e-11	7.82427355	14.5513029	0.89	"205173_x_at"	"CD58"	"ENSG00000116815"	"gene"	"protein_coding"	"CD58"	"GPL570"
"224575_at"	2.7e-08	7.63e-11	7.81433865	14.5127704	0.28	"224575_at"	"LINC01684"	"ENSG00000237484|ENST00000656088"	"ncRNA_gene|lnc_RNA"	"lncRNA|lncRNA"	"LINC01684|LINC01684-214"	"GPL570"
"208663_s_at"	2.7e-08	7.66e-11	-7.81339538	14.5091119	-0.524	"208663_s_at"	"TTC3"	"ENST00000476784|ENST00000472398|ENSG00000182670|ENST00000479930"	"lnc_RNA|lnc_RNA|gene|lnc_RNA"	"retained_intron|retained_intron|protein_coding|processed_transcript"	"TTC3-215|TTC3-214|TTC3|TTC3-216"	"GPL570"
"224748_at"	2.74e-08	7.82e-11	-7.80839287	14.4897093	-0.299	"224748_at"	"DCAF7"	"ENST00000580091|ENSG00000136485"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"DCAF7-203|DCAF7"	"GPL570"
"204112_s_at"	3.01e-08	8.65e-11	7.78311702	14.3916709	1.3	"204112_s_at"	"HNMT"	"ENSG00000150540"	"gene"	"protein_coding"	"HNMT"	"GPL570"
"202474_s_at"	3.1e-08	9.08e-11	-7.77115888	14.3452865	-0.322	"202474_s_at"	"HCFC1"	"ENSG00000172534"	"gene"	"protein_coding"	"HCFC1"	"GPL570"
"226143_at"	3.1e-08	9.09e-11	-7.7709515	14.3444821	-0.411	"226143_at"	"RAI1"	"ENSG00000108557"	"gene"	"protein_coding"	"RAI1"	"GPL570"
"214035_x_at"	3.1e-08	9.12e-11	-7.76994596	14.3405816	-0.433	"214035_x_at"	"NPIPB6"	"ENSG00000198156"	"gene"	"protein_coding"	"NPIPB6"	"GPL570"
"225865_x_at"	3.21e-08	9.56e-11	-7.75838437	14.2957342	-0.293	"225865_x_at"	"NELFCD"	"ENST00000477741|ENST00000474543|ENST00000478389|ENST00000479207|ENST00000486263|ENSG00000101158"	"lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|gene"	"retained_intron|retained_intron|retained_intron|processed_transcript|retained_intron|protein_coding"	"NELFCD-205|NELFCD-204|NELFCD-206|NELFCD-207|NELFCD-209|NELFCD"	"GPL570"
"208808_s_at"	3.21e-08	9.59e-11	7.7576289	14.2928037	0.884	"208808_s_at"	"HMGB2"	"ENSG00000164104|ENST00000511316"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"HMGB2|HMGB2-205"	"GPL570"
"224608_s_at"	3.24e-08	9.75e-11	7.75351116	14.2768307	0.319	"224608_s_at"	"VPS25"	"ENSG00000131475"	"gene"	"protein_coding"	"VPS25"	"GPL570"
"238007_at"	3.24e-08	9.78e-11	7.75272482	14.2737804	0.622	"238007_at"	"ZNF271P"	"ENST00000399070|ENST00000639248"	"lnc_RNA|lnc_RNA"	"processed_transcript|processed_transcript"	"ZNF271P-201|ZNF271P-205"	"GPL570"
"228854_at"	3.24e-08	9.83e-11	-7.75135048	14.2684492	-0.896	"228854_at"	"ZBTB16"	"ENSG00000109906"	"gene"	"protein_coding"	"ZBTB16"	"GPL570"
